Index: 0, Mean: 37.96045684814453, Std: 8108.80615234375
Index: 1, Mean: 36.48724365234375, Std: 7858.85595703125
Index: 2, Mean: 35.09098815917969, Std: 7443.58740234375
Index: 3, Mean: 34.832271575927734, Std: 7366.7265625
Index: 4, Mean: 34.622703552246094, Std: 7338.00244140625
Index: 5, Mean: 35.223426818847656, Std: 7498.236328125
Index: 6, Mean: 36.638301849365234, Std: 7802.15869140625
Index: 7, Mean: 37.82270431518555, Std: 8119.33740234375
Index: 8, Mean: 38.10246658325195, Std: 8213.2314453125
Index: 9, Mean: 38.85854721069336, Std: 8436.6123046875
Index: 10, Mean: 39.112247467041016, Std: 8498.7509765625
Index: 11, Mean: 39.81877517700195, Std: 8678.67578125
Index: 12, Mean: 39.64629364013672, Std: 8681.0634765625
Index: 13, Mean: 39.263031005859375, Std: 8580.279296875
Index: 14, Mean: 38.854679107666016, Std: 8482.8798828125
Index: 15, Mean: 38.733978271484375, Std: 8449.5537109375
Index: 16, Mean: 38.677371978759766, Std: 8449.3369140625
Index: 17, Mean: 39.82915115356445, Std: 8742.32421875
Index: 18, Mean: 39.48603439331055, Std: 8650.6171875
Index: 19, Mean: 39.03086471557617, Std: 8519.763671875
Index: 20, Mean: 39.88137435913086, Std: 8732.7021484375
Index: 21, Mean: 39.96086502075195, Std: 8753.982421875
Index: 22, Mean: 39.628990173339844, Std: 8671.482421875
Index: 23, Mean: 39.528324127197266, Std: 8635.7265625
Index: 24, Mean: 39.476322174072266, Std: 8626.2421875
Index: 25, Mean: 39.4569206237793, Std: 8615.951171875
Index: 26, Mean: 39.88056945800781, Std: 8730.5205078125
Index: 27, Mean: 39.83896255493164, Std: 8724.6162109375
Index: 28, Mean: 39.71965026855469, Std: 8697.4287109375
Index: 29, Mean: 39.65433883666992, Std: 8679.3916015625
Index: 30, Mean: 39.58513259887695, Std: 8661.099609375
Index: 31, Mean: 39.77451705932617, Std: 8707.439453125
Index: 32, Mean: 39.545223236083984, Std: 8653.6591796875
Index: 33, Mean: 39.880775451660156, Std: 8732.1396484375
Index: 34, Mean: 40.32725524902344, Std: 8843.119140625
Index: 35, Mean: 40.15192413330078, Std: 8794.419921875
Index: 36, Mean: 40.068634033203125, Std: 8776.958984375
Index: 37, Mean: 40.180885314941406, Std: 8801.9482421875
Index: 38, Mean: 40.114532470703125, Std: 8780.0654296875
Index: 39, Mean: 40.126976013183594, Std: 8787.27734375
Index: 40, Mean: 40.06511688232422, Std: 8758.6669921875
Index: 41, Mean: 39.949317932128906, Std: 8723.9580078125
Index: 42, Mean: 39.7247314453125, Std: 8666.091796875
Index: 43, Mean: 40.219539642333984, Std: 8796.0556640625
Index: 44, Mean: 39.91009521484375, Std: 8718.9296875
Index: 45, Mean: 39.71456527709961, Std: 8669.5654296875
Index: 46, Mean: 39.73228073120117, Std: 8674.73828125
Index: 47, Mean: 39.58203125, Std: 8636.2490234375
Index: 48, Mean: 39.56692123413086, Std: 8630.7353515625
Index: 49, Mean: 39.796783447265625, Std: 8683.6015625
